Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,DNI
46559,44.43990777,59.4156993,72.09119527,11.40448625,10.58805676,8.136801785,13.55005677,11.79742068,16.61437303,1.116727898,21.74614219,43.5385936,41.17082814,43.87206992,43.9558089,46.22109458,46.09435669,47.81537712,47.6833644,50.55502139,50.19016916,52.85969654,52.61908238,55.64052109,55.64052109,673.1144845
46569,44.47722797,59.44905893,73.84205874,12.40368328,11.36064914,8.196703183,13.28577538,11.90932809,16.68591966,1.11669009,21.77331368,43.55526417,41.20104996,43.94700397,43.9713403,46.3099189,46.06436972,47.86454149,47.7607897,50.7477929,50.21826583,52.68295863,52.67777668,55.93930575,55.93930575,672.8416196
46579,44.5105147,59.13657853,70.27109952,11.93485483,10.52990196,7.96205056,13.03483804,11.84000582,14.96944831,1.116643818,21.82134645,43.60353697,41.25037522,43.93227508,44.01710317,46.33002777,46.14151636,47.82811926,47.7903707,50.77663593,50.25479124,52.97219003,52.72167932,55.73124538,55.73124538,673.2430154
46589,44.55130066,59.54572172,72.94316806,11.69033786,10.74868659,7.967316104,13.48026824,12.44213729,16.61442197,1.116577423,21.82173879,43.65240876,41.28125674,44.00852092,44.06119814,46.48966729,46.14027459,47.89807869,47.82642698,50.99802448,50.31628341,52.85696732,52.77203531,55.79433436,55.79433436,671.8512991
46599,44.57525503,59.30971477,71.49847708,12.41719402,10.31489365,7.950989677,13.19825326,12.07461941,15.54252707,1.116560729,21.80927835,43.67244982,41.30967578,44.03942569,44.10480773,46.39449386,46.22726459,47.95240919,47.87217123,50.90134933,50.31050215,52.96405625,52.8083919,56.20279724,56.20279724,673.2398548
46609,44.59882137,59.58766008,74.66712453,12.56569739,10.80145899,8.000221715,14.12914583,12.43869113,16.73190948,1.116486727,21.83484624,43.71851778,41.35662451,44.04587776,44.15697979,46.27527675,46.29292783,48.06816064,47.90882363,50.83033355,50.39470135,53.10487597,52.88457242,56.03508516,56.03508516,673.6338759
46619,44.62383477,59.33882403,72.9977083,12.09345461,10.93947556,8.188652736,14.17210944,12.08714218,15.51687377,1.116453742,21.82038161,43.73655734,41.38773189,44.12299731,44.17274628,46.61571012,46.25141498,48.05676057,47.9430785,50.78827755,50.39956522,53.00498989,52.8867253,55.86002605,55.86002605,672.6540908
46629,44.65517922,59.62606532,72.35189185,12.11688554,10.51656534,8.110731765,13.34765802,11.51780795,16.74224323,1.116405448,21.84888403,43.78374616,41.44350068,44.29541617,44.22105181,46.51098306,46.3430897,48.06198429,47.99983346,50.97010429,50.4731449,53.14466957,52.8673773,56.14384666,56.14384666,672.4475985
46639,44.68359648,59.87233379,74.08581851,11.93723081,11.01120619,8.324058164,13.27202234,12.11836407,17.42293693,1.116332944,21.83230904,43.81124239,41.47166979,44.12952894,44.25488471,46.61805907,46.38184479,48.17458741,48.03786301,51.01707777,50.49689544,53.29045331,52.99493945,55.98874708,55.98874708,671.7543741
46649,44.72101076,59.8252218,74.88137863,12.35385019,10.87168986,8.483357921,14.06937367,11.95706348,17.14604351,1.116273287,21.83277563,43.86055688,41.50254165,44.12593812,44.23777263,46.64758336,46.34824238,48.183966,48.07820422,51.05598325,50.51257616,53.22592719,52.98784423,56.04822702,56.04822702,671.3350683
