Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
52118,83.77469077,16.71782169,13.71726433,2.959442347,18.39126437,15.78925896,16.19963907,3.192160335,55.4469475,53.94942028,53.77507652,53.8799858,53.45937034,53.2958696,52.78950132,52.72687027,52.70343933,52.41142558,52.30055474,52.21041022,52.09344015,52.09344015,26.51299532,628.7591907
52128,81.51707441,15.51165614,13.53850223,3.371407744,17.26078416,17.28201323,14.5527109,3.191820594,55.52205532,54.06090737,53.90342975,54.01054092,53.5937856,53.43435147,52.94109081,52.88116882,52.87305891,52.57273878,52.46683629,52.37917984,52.29715254,52.29715254,26.57259407,628.351737
52138,81.59034024,16.57141891,13.19676012,3.414691326,17.42722798,14.62446936,16.35577255,3.191615518,55.60272977,54.16520522,53.98316706,54.11221872,53.70607078,53.55205163,53.04305801,52.99102383,52.96782191,52.69680837,52.60015182,52.49470177,52.42913002,52.42913002,26.54881533,628.3496582
52148,73.87665644,13.51578944,9.878733411,4.391069913,15.37934872,14.94599978,15.76571517,3.191234227,55.64665355,54.28039504,54.12104215,54.22596009,53.82704364,53.65682319,53.1503389,53.11159749,53.10326346,52.81312313,52.71624814,52.61959273,52.54478789,52.54478789,26.57558252,628.9670752
52158,65.78991425,11.53042727,8.063527648,4.659948645,14.02763515,12.65720178,14.85117375,3.190865115,55.69020516,54.37990551,54.22079837,54.35350274,53.9323274,53.76076646,53.27908779,53.23561961,53.21377248,52.92748104,52.84300323,52.74207473,52.6584886,52.6584886,26.52008097,628.0856448
52168,59.75779925,10.50337044,6.930402485,4.170978419,12.37172278,12.36149284,13.41983229,3.190588662,55.5824358,54.42771333,54.27789159,54.34851861,53.9935305,53.07071317,53.18445999,52.69765887,53.23423587,52.88036689,52.85806454,52.73933881,52.63817862,52.63817862,26.59127048,627.1252184
52178,55.40079404,9.877080143,7.446953653,3.667393021,11.74169598,10.90199265,11.76567859,3.190311658,55.10409651,54.3043224,54.17581465,54.24512129,53.89348918,53.70954041,53.19766638,53.13640221,53.11635573,52.7757537,52.68473436,52.57072774,52.46031847,52.46031847,26.62651601,628.0814871
52188,55.0191915,10.06400425,7.027274556,4.309936137,12.43201008,10.64309048,10.542876,3.189937833,55.05607383,53.73712134,53.63437937,53.89721636,53.44710442,53.34035703,52.90090945,52.89798091,52.94393584,52.68035336,52.64362868,52.53277371,52.46742883,52.46742883,26.71374933,628.0627775
52198,54.56022818,10.36453439,7.111503756,3.742532391,11.7297294,10.15946858,11.45245967,3.167702543,54.86312433,53.61007873,53.47643473,53.59065329,53.2080304,52.75322802,52.53287737,52.02604724,52.61376619,51.94873535,52.34382066,52.25683363,52.13152796,52.13152796,26.73836226,627.2239635
52208,53.38914181,9.887638664,6.837563801,3.367551234,11.40307097,11.18200315,10.71131399,3.167421277,54.64321348,53.52149636,53.37141605,53.44444837,53.08656953,52.91897746,52.43840714,52.36674878,52.37666396,52.05416387,52.01742494,51.93042015,51.8688828,51.8688828,26.85267691,628.1022756
