Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,exp_flowrate,DNI,Tamb
53281,84.93417443,14.91247059,15.53796038,6.822898176,16.34598744,14.87988701,16.43497083,66.9228774,63.33975095,66.72737594,66.55131784,70.08103362,69.6864128,71.23635184,70.83216544,74.54543852,74.07466487,77.45488794,77.12775091,80.8612381,75.97184037,1.059023484,611.6991479,26.69643873
53291,85.2275409,15.8108201,14.99816843,6.636913271,16.2565305,15.54995103,15.97515757,66.94897234,63.38186611,66.97396085,66.61056306,70.01802969,69.74002665,71.24788147,70.84257656,74.53593321,74.03159644,77.56442376,77.20640614,80.83583706,76.0048476,1.05890728,612.1824794,26.74477053
53301,87.15221541,16.61006013,14.84419723,6.967376109,16.5517086,15.87384577,16.30502757,67.0313013,63.45346791,67.22741127,66.68752311,70.06024779,69.76322017,71.34626578,70.92328472,74.68397014,74.03262949,77.63929885,77.2009502,80.90558765,76.02758441,1.05883221,611.2480385,26.79032931
53311,84.52952222,15.77896672,14.91573896,7.225746689,15.30652956,15.54360284,15.75893745,67.08124304,63.5013978,67.08681862,66.71417619,70.10344762,69.82455261,71.46644356,71.00206456,74.48013449,74.17896485,77.71090444,77.23809513,80.81896474,76.06159538,1.058741028,611.8509036,26.7965782
53321,84.3091383,16.36579094,15.52082365,6.349115771,16.43427932,15.65335516,13.98577346,67.12979738,63.55669871,67.27605774,66.7828913,70.31021948,69.8867367,71.32966367,71.04991599,74.78483998,74.16191744,77.71936529,77.37096639,80.54943256,76.09623449,1.058571543,610.1732755,26.77964047
53331,84.69683526,16.31271353,14.91459358,6.8900935,16.43272818,15.27781582,14.86889065,67.18249779,63.61019247,67.31782643,66.84500213,70.2348645,69.88099031,71.44700474,71.10437291,74.8392844,74.16221448,77.63463179,77.40661768,80.78609247,76.1070478,1.058475173,610.2023794,26.80429637
53341,83.57796305,15.5514019,14.62547509,7.011417602,16.00578373,15.3215885,15.06229623,67.23467733,63.65470804,67.18966599,66.87523765,70.19972502,69.95037974,71.544131,71.14510541,74.78334797,74.31660439,77.7993239,77.3649991,80.78877941,76.13233259,1.058367787,610.919581,26.88151947
53351,85.06633856,15.33950766,15.09133404,6.823521956,15.81979435,15.75389834,16.23828223,67.30305957,63.71730567,67.20450221,66.91675055,70.34752871,70.00619451,71.55741524,71.23358632,74.8299685,74.33055761,77.91195937,77.45055652,81.14207536,76.19014094,1.058245217,610.0381506,26.92718589
53361,85.21971773,15.13622159,15.69695238,6.847373848,16.3967222,14.93140206,16.21104565,67.35663201,63.77710924,67.21846298,66.97032751,70.53916834,70.03064362,71.58745457,71.26698359,74.99492327,74.41899094,77.81377714,77.52064564,81.20637012,76.22934894,1.058131102,610.3427014,26.88766717
53371,81.85697626,14.93450131,14.26082275,6.481368436,16.12518714,14.95821969,15.09687693,67.40060309,63.81214237,67.20802236,67.03938482,70.28208049,70.14375689,71.61752216,71.30757054,74.9741945,74.38595567,77.78722886,77.57286231,81.00566406,76.23211385,1.058009847,611.3873211,26.85519261
53381,83.87115166,15.85237648,15.22976327,6.313345475,17.25207705,14.48837422,14.73521517,67.44264514,63.86292845,67.46788314,67.06261842,70.52598598,70.24598779,71.68169205,71.33884466,75.26210223,74.52328156,77.81805144,77.65246505,81.00336849,76.30701342,1.057903092,611.463199,26.82576932
53391,83.38075798,15.3947191,14.90964602,6.332562892,16.41050872,15.2556882,15.07763304,67.47000868,63.90681856,67.40796866,67.09468711,70.48551927,70.2117867,71.65197233,71.38633299,75.11849944,74.50385924,77.97339017,77.69077276,81.11980944,76.32943257,1.057821423,610.6462128,26.75263156
53401,83.78895805,15.68975832,14.52153727,6.268020836,16.67866732,15.17573891,15.4552354,67.54625319,63.96219888,67.53074305,67.15167848,70.45451757,70.30164871,71.72727355,71.42627701,75.21974277,74.5527457,78.00437915,77.65396046,81.16916376,76.38950694,1.057734076,610.248114,26.77110186
53411,83.29431026,15.07277882,15.1525155,6.672665858,16.77321402,15.15148873,14.47164733,67.58458816,64.00247595,67.43106295,67.19919833,70.64592292,70.30728795,71.82511128,71.4791356,75.29451856,74.60268571,78.04917675,77.76834809,81.06019642,76.43027353,1.057619554,610.9725915,26.82290521
53421,84.59530256,15.69801716,15.07907172,7.045785499,16.73705853,15.13224337,14.90312628,67.61991804,64.04372152,67.61489438,67.23117196,70.6615397,70.314624,71.91748363,71.50728322,75.31482966,74.61046692,78.05293079,77.77657738,81.16691895,76.45058495,1.057511857,611.0973222,26.8223689
53431,86.05740609,16.4823094,14.39863737,6.95944241,16.93001907,14.90454203,16.38245581,67.68504323,64.10021396,67.85018776,67.28353795,70.55944496,70.38710589,71.97048393,71.58467858,75.43651308,74.73349347,78.12450142,77.82979783,81.55705343,76.5449727,1.057404483,610.4882206,26.77203897
53441,80.10940651,14.9612579,14.45677597,6.445128997,15.74105595,14.98244326,13.52274443,67.74303042,64.14994333,67.55426505,67.33593159,70.62546223,70.53302706,71.99956769,71.64554128,75.22730018,74.82186683,78.23100912,77.87879507,80.95579386,76.56689278,1.057277117,610.8977531,26.76891503
53451,82.83069394,15.01115385,15.3906354,6.54978144,15.86249481,15.06763354,14.9489949,67.80026552,64.20318728,67.61917067,67.39585871,70.89819806,70.51481062,72.00529862,71.706324,75.31604111,74.83856069,78.26739677,78.00222781,81.40406612,76.59276082,1.057181718,610.9996165,26.68497035
53461,86.76904604,15.79338579,15.30522623,6.290377615,16.20285346,16.12792977,17.04927318,67.84920047,64.2585228,67.85290869,67.44748488,70.93077148,70.63982055,72.07143533,71.7415801,75.42915593,74.92012711,78.59065121,77.96811283,81.84832368,76.61995666,1.057065412,611.8633767,26.68877668
53471,82.7239139,15.07038637,14.64618552,6.303660846,15.92931471,15.4129637,15.36140275,67.86887491,64.3033415,67.73342723,67.49201711,70.82555287,70.687015,72.12175573,71.84046312,75.46604469,74.88832491,78.39638273,78.04953505,81.54585738,76.63491836,1.056989641,611.1305837,26.67453186
