Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,Tamb,DNI,m2_T_WB,m3_T_WB
47230,59.08811092,59.68823253,26.39817337,13.19764374,7.063890112,1.221757741,4.280720845,4.081327859,-3.447166928,1.619923396,58.1287327,60.09664993,60.13154582,61.18485134,60.98495,61.16712783,60.72489788,61.36320154,60.28864992,60.89722184,60.20224392,59.68823253,24.38264725,653.9970858,81.31936946,71.62241834
47240,58.99935269,61.52824252,36.09026186,11.60709684,7.494410099,2.747910152,7.43589914,8.163565484,-1.358619855,1.620192976,58.07753603,59.80799683,59.9721245,61.08943946,60.86911267,61.27878883,60.95213008,62.06072185,61.08831768,62.30539464,61.73079432,61.52824252,24.34316067,652.1091557,83.05486068,73.14319405
47250,58.9324314,62.76619738,42.97993469,12.10969473,6.342636268,3.63479552,9.569805012,10.48820384,0.834799322,1.620361894,57.99406808,59.79927121,59.84238088,60.7878834,60.7095728,61.25141505,60.98151786,62.40809734,61.5672694,63.13075542,62.6417531,62.76619738,24.35479634,653.922285,83.85148624,73.76340129
47260,58.86034329,63.61205354,47.85277994,11.88162617,6.353900587,3.988989541,10.18898507,12.17574025,3.263538327,1.620495187,57.93028675,59.7013458,59.76336251,60.7104663,60.57470725,61.16930061,60.95862846,62.47738473,61.75815069,63.57304999,63.12559495,63.61205354,24.37415742,653.7157926,80.5006668,74.41358988
47270,58.77309577,64.01136178,48.78838314,11.64052874,5.70567648,3.694474295,11.48696436,11.19103902,5.069700245,1.620611221,57.8623271,59.59732426,59.67996563,60.53038512,60.42177062,60.97242451,60.85889282,62.57100153,61.87982779,63.54782942,63.25573325,64.01136178,24.36075253,655.8133756,85.84705868,74.39156939
47280,58.68451545,64.25040247,50.48148152,10.69193225,6.611207164,3.998814107,11.06680744,13.03565367,5.07706689,1.620683146,57.76268713,59.35622719,59.53305176,60.51839502,60.36579405,60.96178272,60.7129477,62.36235967,61.81939679,63.76224827,63.49370954,64.25040247,24.39037708,655.0506181,86.30673505,74.45609419
47290,58.62180013,64.47826184,54.8563384,11.87116218,7.886626591,4.072527863,11.31339821,13.92147337,5.791150178,1.620698192,57.69391093,59.4631886,59.50336185,60.67878445,60.42049603,61.02746546,60.77706618,62.46321472,61.84087305,63.91572904,63.61514899,64.47826184,24.380676,651.9932672,86.24762717,74.54954537
47300,58.54614137,64.59078601,55.36870708,11.75264742,8.20000732,4.414164631,11.42457158,14.24342447,5.333891658,1.620739197,57.6243508,59.37592072,59.49890074,60.72099867,60.53071032,61.18858064,60.88457233,62.58724706,61.88979724,64.0125831,63.79584306,64.59078601,24.3721385,648.9253809,86.195744,74.50658786
47310,58.49093532,64.69480774,56.11876541,12.5364291,8.880643692,3.882800588,11.05575414,14.72419635,5.038941533,1.620732666,57.55630228,59.42469157,59.45606589,60.77960862,60.50607096,61.08475113,60.92231215,62.57002637,61.97103374,64.16548085,63.94382002,64.69480774,24.39950332,632.2806227,85.78024425,74.10244447
47320,58.42298304,64.90263034,56.70830951,11.89236089,8.68012547,4.036556954,11.17902143,14.92238822,5.997856548,1.620752839,57.48680328,59.26637639,59.39353114,60.69242527,60.51380393,61.11783439,60.92129341,62.59412239,61.98302372,64.21601017,64.00511098,64.90263034,24.42543691,620.5021306,84.97394089,72.99633961
47330,58.36106874,64.90091628,56.61260568,11.71929158,8.939494719,4.313906861,10.8776734,14.66873553,6.093503587,1.620695681,57.41899352,59.17273038,59.3217649,60.65951824,60.43376806,61.07932393,60.86348379,62.49127645,61.98781218,64.18291946,63.98905213,64.90091628,24.46991852,621.2933334,84.97885667,73.22173204
47340,58.28728509,64.83381024,56.45361007,11.81633455,9.004356501,4.003689707,10.20221586,15.09966542,6.327348033,1.620713535,57.3614879,59.1297273,59.2462169,60.59366166,60.37867763,60.97780436,60.79606186,62.32275866,61.80064763,64.06021665,63.8869628,64.83381024,24.53532211,636.1544613,85.0751886,74.16497037
47350,58.23635285,64.85963645,58.36098929,11.95457653,9.134944598,4.162626565,11.04131963,15.49769149,6.569830481,1.620685429,57.2989843,59.08794176,59.17173079,60.53874093,60.33003599,60.95295742,60.77009123,62.42238323,61.81954614,64.13871744,63.876486,64.85963645,24.56771145,632.7926394,84.96893001,74.25151775
47360,58.18123856,64.92162483,59.98244592,12.81967763,9.553373099,4.290028104,11.29296873,15.50167257,6.52472579,1.620672504,57.23570487,59.15413676,59.13909363,60.56873142,60.33354723,60.97553894,60.77203117,62.46199499,61.89482844,64.214614,63.94521634,64.92162483,24.6173729,635.7014423,85.18982817,74.22731097
47370,58.13305651,64.95266085,58.12090558,11.98134067,8.659659218,4.144572363,11.80075859,15.12686518,6.407709554,1.62063856,57.17216947,58.96518394,59.08037905,60.37630199,60.29528534,60.91552295,60.75800969,62.52399995,61.9110918,64.17483581,63.99374346,64.95266085,24.66528039,643.2373595,85.51749755,74.39183775
47380,58.0694049,65.05139575,60.64164333,12.10541776,9.314936964,4.406921957,12.32354409,15.35115014,7.139672422,1.620589915,57.10008669,58.91172374,59.02057224,60.41459972,60.23483617,60.89435436,60.710362,62.55464277,61.89037974,64.18775708,63.98290763,65.05139575,24.69523584,649.6112304,85.64163093,73.85078861
47390,58.03114792,65.02533789,57.94087352,11.14643985,8.650607724,4.850814492,11.16810196,15.95128913,6.173620373,1.620554543,57.04708606,58.71524363,58.97312522,60.26776072,60.12120411,60.8471689,60.69526115,62.36666063,61.89524737,64.28249065,64.10140418,65.02533789,24.71035297,654.0834754,85.51182171,73.65153358
47400,57.99412552,65.09730647,59.78714789,11.03710201,8.695579582,4.984278743,11.45428042,16.43484594,7.181061202,1.620488437,56.99289888,58.64476051,58.8822245,60.1836435,60.00520962,60.75117888,60.59028937,62.30458777,61.79503395,64.25474587,64.02255701,65.09730647,24.70995105,651.6951175,85.36721294,73.54329056
47410,57.96598898,64.98813384,59.65738763,11.43767892,8.640096672,5.251123464,11.29685759,16.16509536,6.866535626,1.620426479,56.94697356,58.65885276,58.79279231,60.08595694,59.92098354,60.70692001,60.51057161,62.20137406,61.71961487,64.13904723,63.96041837,64.98813384,24.75482972,647.9403281,85.15921285,73.35725837
47420,57.92268831,65.01709656,59.82723018,11.64430225,8.662803112,5.0698787,10.92555646,16.09965602,7.425033642,1.620422637,56.90437161,58.64718029,58.73064372,60.0272099,59.83686756,60.5956789,60.431862,62.06709563,61.62995091,64.03959467,63.90578797,65.01709656,24.71831742,640.5677084,84.86374822,73.09760765
47430,57.88385206,64.88089382,59.57159557,10.99812499,8.465092303,4.864583974,11.51036119,16.4668657,7.266567413,1.620418262,56.85036789,58.49646733,58.65858368,59.9255618,59.77584167,60.50392841,60.32978198,62.05254829,61.562239,64.02684987,63.79330002,64.88089382,24.80252416,633.1171274,84.4298994,72.92769007
47440,57.85434363,64.8610986,59.16857722,10.98734265,8.481583042,4.402754748,10.90633096,16.26315346,8.127412353,1.620352651,56.79712293,58.44167515,58.5675479,59.83704561,59.692483,60.35147402,60.25878621,61.89121286,61.45336688,63.88758651,63.6446121,64.8610986,24.77539555,640.5824579,84.55782645,73.00296918
47450,57.83513522,64.66984772,59.1074879,10.91492177,8.345054642,4.897520284,11.35584374,16.60317122,6.99097626,1.620307341,56.75927791,58.39303608,58.51914818,59.76824565,59.63490328,60.36796981,60.19246713,61.89222301,61.35544823,63.84063019,63.62343027,64.66984772,24.87847446,635.1040895,84.34749099,72.89635367
47460,57.81851121,64.76217142,60.47132495,11.202725,8.394418862,5.08494142,11.25542542,16.58035472,7.953459534,1.620257143,56.71746199,58.39435084,58.48276451,59.7392898,59.55723068,60.3183742,60.11795492,61.80273227,61.3276325,63.80947615,63.57165147,64.76217142,24.91527252,627.1267422,83.99587529,72.75890762
47470,57.79063939,64.6821619,59.93193011,10.89494906,8.824912198,4.822556184,10.94375065,16.53266841,7.913093603,1.620231823,56.66253698,58.29338162,58.42278247,59.74376715,59.52242133,60.24430079,60.07709374,61.71524341,61.24214716,63.71689152,63.49766565,64.6821619,24.92972652,636.9319682,84.09227097,72.67586277
47480,57.78648429,64.59331259,59.55551446,11.09390325,8.580233576,5.365285161,11.4171532,15.38663202,7.712307254,1.620163729,56.62747332,58.28816884,58.38987839,59.67429157,59.43026395,60.23341725,59.99371174,61.70279598,61.20771175,63.51100485,63.43882316,64.59331259,24.92151196,635.4654511,84.02379701,72.69316519
47490,57.76479315,64.60013758,60.16746508,10.66123489,8.419869697,4.949966469,11.26572504,16.45608663,8.414582348,1.620153567,56.60034383,58.19628132,58.34999951,59.61041501,59.42295764,60.16394469,59.99762991,61.68405678,61.14073396,63.60413392,63.34051357,64.60013758,24.93228035,649.5722497,84.39015101,72.88318743
47500,57.73500635,64.46219079,59.28280101,11.47153274,8.054130209,5.185385097,11.02458548,16.28239131,7.264776184,1.620147901,56.54273499,58.25997631,58.29214327,59.49781347,59.40105124,60.17728209,59.96428157,61.61461673,61.12961188,63.56701897,63.37468364,64.46219079,25.01920371,650.524643,84.52228302,72.97879575
47510,57.72868133,64.47425827,59.19699061,11.5676627,8.614841701,4.533102885,11.45589025,16.04996205,6.975531012,1.62010187,56.51118286,58.24286365,58.27346558,59.56310864,59.37474939,60.05335555,59.9458421,61.66079054,61.10646961,63.50915127,63.43002026,64.47425827,25.11154954,650.2349216,84.50838663,72.98545484
47520,57.73392848,64.64128662,61.23093385,10.82600462,8.972959323,5.422069304,11.60979838,16.3081968,8.091905426,1.620032574,56.47222375,58.09294754,58.25018395,59.59349472,59.32072039,60.13243967,59.92998485,61.6680477,61.12741383,63.56885769,63.42987538,64.64128662,25.18947355,651.4233061,84.67982184,73.01034424
47530,57.72786002,64.49988259,59.61308714,10.79601703,8.456966544,5.03803054,11.5840396,16.12516817,7.612865267,1.619988349,56.45573351,58.07201208,58.22592204,59.49201988,59.36696877,60.12121552,59.92369791,61.65795184,61.11215577,63.52626495,63.36015569,64.49988259,25.16118598,654.2762718,84.66371962,73.03974763
47540,57.72340418,64.58597228,61.61086414,11.50526132,8.530302173,5.421735249,11.64525796,16.69218972,7.816117722,1.619949585,56.43798801,58.16048922,58.21001109,59.48711861,59.34522856,60.15693941,59.90892121,61.6523819,61.12094331,63.62000145,63.41578833,64.58597228,25.24807293,645.157949,84.39698896,73.01954812
47550,57.72242547,64.57692887,61.98423926,11.15942298,9.089459162,4.949392546,11.89066245,16.92520844,7.970093676,1.619894451,56.41327155,58.0840527,58.17376519,59.53463278,59.31910458,60.06012423,59.88774174,61.66800356,61.11615203,63.65018263,63.38365191,64.57692887,25.15920326,631.6337538,84.00113092,72.78531618
