Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
47993,30.91182739,7.139180743,1.645775103,5.903025521,8.906242537,7.529787289,-0.212183807,2.999858283,75.77984214,74.40014578,74.987357,75.00209068,75.13745881,74.99224572,75.47778081,75.32540784,76.05796326,75.54759048,76.16692983,76.03625947,76.01880695,76.01880695,26.56360668,607.3298151,92.92587546,83.50043386
48003,30.9552722,7.110501846,1.275743778,5.831969753,9.019994232,7.877551759,-0.160489169,2.999689586,75.77710034,74.44148412,75.02636933,75.04566494,75.15060319,75.02440878,75.50412638,75.38867196,76.13062539,75.60951215,76.25749223,76.09549653,76.08229525,76.08229525,26.87972936,608.5055573,93.06532305,83.55533647
48013,30.62279503,6.974153645,1.275728326,5.540848554,9.193975696,7.746893775,-0.108804968,2.999653562,75.74965076,74.43991861,75.01359518,75.06565019,75.17058844,75.04775027,75.50352673,75.40485347,76.16112709,75.6335249,76.27076516,76.1201807,76.11123067,76.11123067,26.70617982,609.3367943,93.07998195,83.54690599
48023,31.39470914,6.857706891,1.580307422,5.369236258,9.155475313,8.189903256,0.242080003,2.999516253,75.73001872,74.44311982,75.00724359,75.06839309,75.1983912,75.05205941,75.49373968,75.40938635,76.1625275,75.65081149,76.32452345,76.11173608,76.13164989,76.13164989,26.42594192,608.7373344,93.09589841,83.57453116
48033,31.43251251,6.937735199,1.275595393,5.725219301,9.209338005,8.379819104,-0.095194494,2.999341208,75.73077596,74.46982891,75.04056922,75.08100902,75.18594726,75.06266161,75.53365298,75.41036734,76.16798352,75.67752364,76.36689855,76.1498597,76.14202842,76.14202842,26.49167778,608.787904,93.06859723,83.58607492
48043,30.57446188,6.8367011,1.188516568,6.377736541,8.863586674,7.574455623,-0.266534629,2.999228482,75.7047819,74.45652276,75.01897253,75.07112492,75.1689032,75.04807878,75.57276991,75.42800435,76.15720433,75.66361204,76.28675627,76.16816813,76.14624054,76.14624054,26.44234478,604.5937915,92.89318887,83.53331814
48053,31.54226336,6.977809585,1.509436266,6.130214287,9.217110898,7.998703552,-0.291011224,2.999214849,75.68735851,74.47029912,75.04436037,75.0754052,75.19958584,75.06108527,75.56541524,75.42512467,76.18341224,75.68646351,76.34451326,76.20802485,76.18408349,76.18408349,26.5609958,609.0365376,92.88724763,83.60665823
48063,32.51223278,7.384442804,1.411546907,6.410434761,9.399465684,8.129363731,-0.223021106,2.9992573,75.66856424,74.4474783,75.05498449,75.07227338,75.18839907,75.05034598,75.5777221,75.42333534,76.19661421,75.66945923,76.33824887,76.20556426,76.18721667,76.18721667,26.64943552,609.064983,92.9059516,83.57492028
48073,32.34969058,7.447736105,1.270115227,5.662482339,9.701320103,8.423063023,-0.155026222,2.999245283,75.65658352,74.42889858,75.04161427,75.06521515,75.1697059,75.05962143,75.52546658,75.41359213,76.21170728,75.64808106,76.34103563,76.19626845,76.18351465,76.18351465,26.8139621,611.0129644,92.87673185,83.59782094
48083,31.15943127,7.081758846,1.319059257,5.765783703,9.08930257,7.675069129,0.22845776,2.999220061,75.64744129,74.43124387,75.01385597,75.0741966,75.18271482,75.07621034,75.55055795,75.45255592,76.20032746,75.69599487,76.32741826,76.17750486,76.19629994,76.19629994,26.56458841,613.8838401,92.98502482,83.62413113
48093,32.46432725,7.228183173,1.305454613,6.573506604,9.665835172,7.558081306,0.133266383,2.999205812,75.64045317,74.42312025,75.01778143,75.05781102,75.16521051,75.03454112,75.57534219,75.4066355,76.20184181,75.67379179,76.29559362,76.17790045,76.18886425,76.18886425,27.0204688,613.7089537,93.00367973,83.6218037
48103,31.36432044,7.064099786,0.927403565,6.013162669,9.459001239,7.922410652,-0.021757473,2.999162792,75.62850247,74.41994188,75.00111228,75.04183284,75.11813124,75.02281418,75.51752295,75.41236098,76.19056226,75.66743482,76.3192193,76.20197357,76.20018356,76.20018356,26.8331885,611.764133,92.96026782,83.60921612
48113,32.16773095,7.127443309,1.196664621,5.667836547,9.548867957,8.49909175,0.127826768,2.999200095,75.61403419,74.40632198,74.99269642,75.03497203,75.13342158,75.02937831,75.49567097,75.39878771,76.18437265,75.66974772,76.36896762,76.20339148,76.21390779,76.21390779,26.70316081,612.1107451,92.91602749,83.59906309
