Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
46907,56.34296993,10.02332218,11.13607837,8.043074932,10.57797372,9.598547085,6.963973642,1.650393814,56.80658833,54.90516435,56.39325579,56.24881992,57.90211437,57.69114453,58.88524273,58.64899095,60.21942757,59.72786794,61.15289604,60.99248062,62.02637232,62.02637232,25.60282133,667.4296237,69.50292286,71.06355444
46917,57.95448157,9.795518017,11.45374781,7.948383251,10.96947335,10.76989793,7.017461199,1.650264065,56.86829983,54.96474518,56.41917253,56.3184184,58.01905783,57.70654471,58.8867116,58.72569493,60.35442983,59.75268202,61.35178419,61.04644886,62.0883935,62.0883935,25.60935945,666.6120826,69.66133671,71.10469029
46927,57.29015336,9.71767589,11.51833447,8.270548911,10.84061703,10.30132854,6.641648528,1.650071801,56.91701569,55.02995381,56.47303754,56.36692306,58.07740623,57.77456291,59.00274697,58.78649464,60.39633616,59.79437432,61.32413101,61.1381502,62.12444107,62.12444107,25.61495269,666.5088364,69.65192977,71.15007276
46937,57.59330385,9.972844194,10.63040329,7.728097235,11.33356999,10.71380207,7.214587068,1.649935492,56.97823325,55.08646229,56.56760481,56.41241972,57.99122131,57.84159627,58.98935445,58.77354997,60.45678417,59.85124588,61.44243366,61.18624145,62.25773434,62.25773434,25.61957009,666.2127938,69.70846445,71.24679163
46947,56.67571725,9.795383702,11.35300961,7.253518943,10.95970535,10.55809968,6.755999966,1.649755403,57.01853308,55.15198745,56.60697449,56.47836092,58.16471465,57.94051616,59.01793961,58.91082731,60.5387604,59.89463506,61.46291443,61.23678635,62.24030931,62.24030931,25.62292232,666.0431751,69.71384392,71.2998017
46957,57.44788779,9.772315745,10.83937366,8.161498672,10.87893471,10.43187222,7.363892775,1.649672185,57.05248265,55.19162562,56.64328435,56.51973871,58.12990685,57.93738198,59.14975693,58.90320332,60.51924818,59.93662047,61.48625505,61.25227702,62.34616915,62.34616915,25.62490747,666.4930334,69.76579329,71.34826146
46967,57.90639006,9.312126105,11.25801724,8.193383372,11.42693095,10.32755351,7.388378883,1.649514459,57.11983437,55.24410054,56.6275774,56.57429433,58.24686686,58.02110444,59.23837278,58.98666415,60.68433172,60.00994373,61.54427983,61.33543254,62.43310358,62.43310358,25.62603935,665.9883914,69.85426062,71.42540749
46977,56.77700925,9.96024901,10.62922414,7.71498909,10.51071442,10.48198453,7.479848062,1.649423312,57.19225493,55.30465241,56.78454211,56.65797479,58.23726053,58.0726016,59.2188915,58.99435155,60.55602917,60.06162,61.61902894,61.32853076,62.4398835,62.4398835,25.62680765,665.3057024,69.86684346,71.46365062
46987,59.2300928,10.02314465,11.20039331,7.786294558,11.13868367,10.46071074,8.62086588,1.649242885,57.25613279,55.33895205,56.8284016,56.6930959,58.3574858,58.10298099,59.26003232,59.04043647,60.69565626,60.09533938,61.64981169,61.39610715,62.67717664,62.67717664,25.62743997,666.7195429,69.92346489,71.50653398
46997,57.07280453,10.07015005,10.55790881,7.618891847,10.89837111,9.807171928,8.12031079,1.64909705,57.32911005,55.38411825,56.88073559,56.74968399,58.31879163,58.18131987,59.31363326,59.12727443,60.7469813,60.15767445,61.61520821,61.43261279,62.63944664,62.63944664,25.62768895,666.9418382,69.95650653,71.5501351
